H0211080000,H0212,8,0,0,0,フロントパネル,262H02110800,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211090000,H0211,9,0,0,0,ドア　右側,262H01120900,2,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211100000,H0211,10,0,0,0,ドア　左側,262H01121000,2,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211110000,H0211,11,0,0,0,フェンダー・ステップ,262H01121100,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211130000,H0211,13,0,0,0,スプラッシュボード,262H02101300,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211150000,H0211,15,0,0,0,フロントピラー,262H01121500,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211160000,H0211,16,0,0,0,フロアＡＳＳＹ,262H01121600,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211170000,H0211,17,0,0,0,フロア付属品,262H01121700,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211180000,H0211,18,0,0,0,クォータパネル,262H01121800,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211190000,H0211,19,0,0,0,インスッルメントパネル,262H01121900,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211210000,H0211,21,0,0,0,ヒーター・クーラー,262H01122100,2,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211220000,H0211,22,0,0,0,フロント付属品,262H01122200,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211230000,H0211,23,0,0,0,アクセルコントロール,262H01122300,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211240000,H0211,24,0,0,0,クラッチコントロール,262H01142400,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211250000,H0211,25,0,0,0,ブレーキコントロール,262H01122500,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211260000,H0211,26,0,0,0,ステアリングコントロール,262H01122600,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211270000,H0211,27,0,0,0,トランスミッションコントロール,262H01122700,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
H0211280000,H0211,28,0,0,0,シート・ベット,262H01122800,1,2011年10月,0,20040101,20040101,20120405,2012/4/5 9:06,,,
