01,åä∑,X,0,20040101,20040203,20040212,2004/02/12 15:41:01
02,íEíÖ,A,0,20040101,20040203,20040212,2004/02/12 15:41:03
03,ì_åü,B,0,20040101,20040203,20040212,2004/02/12 15:41:06
04,í≤êÆ,C,0,20040101,20040203,20040212,2004/02/12 15:41:08
05,ÇnÅ^Çg,D,0,20040101,20040203,20040212,2004/02/12 15:41:09
06,ããéâ,E,0,20040101,20040203,20040212,2004/02/12 15:41:11
10,ÁÂã‡,F,0,20040101,20040203,20040212,2004/02/12 15:41:12
11,èCóù,G,0,20040101,20040203,20040212,2004/02/12 15:41:14
12,èCê≥,H,0,20040101,20040203,20040212,2004/02/12 15:41:18
13,êªçÏ,I,0,20040101,20040203,20040212,2004/02/12 15:41:22
14,ìhëï,J,0,20040101,20040203,20040212,2004/02/12 15:41:24
15,ë™íË,K,0,20040101,20040203,20040212,2004/02/12 15:41:27
